MAIN_ID,OTYPE_S,RA_d_A_ICRS_J2000_2000,DEC_d_D_ICRS_J2000_2000,Distance_distance,Distance_Q,Distance_unit,Distance_merr,Distance_perr,Distance_method,Distance_bibcode,FLUX_B,FLUX_V
b'NGC  6618',b'OpCl',275.19600000,-16.17200000,1814.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'M  18',b'OpCl',274.99200000,-17.10200000,1296.0000,,pc,,,ST-L,2005A&A...438.1163K,7.239999771118164,6.900000095367432
b'M  19',b'GlCl',255.65704000,-26.26794000,,,,,,,,8.449999809265137,5.570000171661377
b'M  20',b'OpCl',270.67500000,-22.97200000,816.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'M  21',b'OpCl',271.05400000,-22.49000000,1205.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'M  22',b'GlCl',279.09975000,-23.90475000,0.0030,,Mpc,,,,2008MNRAS.389.1924F,7.159999847412109,6.170000076293945
b'M  23',b'OpCl',269.26700000,-18.98500000,628.0000,,pc,,,ST-L,2005A&A...438.1163K,6.03000020980835,5.5
b'M  24',b'Assoc*',274.20000000,-18.55000000,,,,,,,,,
b'IC 4725',b'OpCl',277.94600000,-19.11700000,620.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'M  26',b'OpCl',281.32500000,-9.38300000,1582.0000,,pc,,,ST-L,2005A&A...438.1163K,8.0,8.869999885559082
b'M  27',b'PN',299.90151337,22.72119788,376.2935,,pc,-6.1736,6.1736,paral,2018yCat.1345....0G,13.74899959564209,14.08899974822998
b'M  28',b'GlCl',276.13704000,-24.86983000,0.0060,,Mpc,,,,2008MNRAS.389.1924F,,
b'M  29',b'OpCl',305.98300000,38.52300000,1148.0000,,pc,,,ST-L,2005A&A...438.1163K,7.300000190734863,6.599999904632568
b'M  30',b'GlCl',325.09217000,-23.17986000,0.0070,,Mpc,,,,2008MNRAS.389.1924F,,7.099999904632568
b'M  31',b'Galaxy',10.68470800,41.26875000,0.8200,,Mpc,,,T-RDB,2017AJ....153....6K,4.360000133514404,3.440000057220459
b'M  32',b'IG',10.67427100,40.86516900,0.7900,,Mpc,,,T-RDB,2017AJ....153....6K,9.029999732971191,8.079999923706055
b'M  33',b'GinGroup',23.46210000,30.65994200,0.9300,,Mpc,,,T-RDB,2017AJ....153....6K,6.269999980926514,5.71999979019165
b'NGC  1039',b'OpCl',40.52100000,42.76200000,499.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'NGC  2168',b'OpCl',92.22500000,24.33300000,1185.7690,,pc,,,ST-L,2010MNRAS.403.1491P,,
b'M  36',b'OpCl',84.07500000,34.14000000,1318.0000,,pc,,,ST-L,2005A&A...438.1163K,6.090000152587891,6.0
b'M  37',b'OpCl',88.07500000,32.55300000,1383.0000,,pc,,,ST-L,2005A&A...438.1163K,6.190000057220459,5.599999904632568
b'M  38',b'OpCl',82.17900000,35.85500000,1066.0000,,pc,,,ST-L,2005A&A...438.1163K,6.690000057220459,6.400000095367432
b'NGC  7092',b'OpCl',322.95000000,48.43300000,311.0000,,pc,,,ST-L,2005A&A...438.1163K,,
b'M  40',b'multiple_object',185.55221000,58.08294000,,,,,,,,,
b'M  41',b'OpCl',101.50400000,-20.75700000,693.0000,,pc,,,ST-L,2005A&A...438.1163K,4.889999866485596,4.5
b'M  42',b'HII',83.82210000,-5.39110000,0.5000,,kpc,,,kin,2006ApJ...653.1226Q,,
b'M  43',b'HII',83.87900000,-5.27000000,,,,,,,,,
