NOMAD1,YM,RAJ2000,DEJ2000,r,pmRA,e_pmRA,pmDE,e_pmDE,Bmag,r_Bmag,Vmag,r_Vmag,Rmag,r_Rmag,Jmag,Hmag,Kmag,R
0534-0020274,YM,24.6145186,-36.5282508,H,-13.2,0.4,-122.3,0.4,6.986,T,5.945,T,5.310,B,4.350,3.693,3.650,R
0531-0022868,.M,25.5124742,-36.8323050,H,-29.3,0.4,-16.6,0.4,5.697,T,5.697,T,5.700,B,5.697,5.724,5.684,R
0599-0020180,YM,30.3113461,-30.0018303,H,-108.6,0.6,-108.7,0.4,6.196,T,5.355,T,4.820,B,3.846,3.275,3.217,
0607-0022820,YM,31.1226603,-29.2968192,H,12.5,0.6,8.5,0.4,4.532,T,4.673,T,4.750,B,5.166,5.048,5.014,
0576-0026573,YM,25.5358081,-32.3269703,H,-74.7,0.7,-46.3,0.5,6.279,T,5.263,T,4.630,B,3.648,3.065,2.950,
0600-0017036,YM,24.0354567,-29.9073172,H,119.6,1.0,47.9,0.6,6.221,T,5.935,T,5.760,B,5.052,4.937,4.846,*
0597-0015283,YM,22.9302022,-30.2830817,H,-4.4,0.7,-64.3,0.5,6.849,T,5.794,T,5.140,B,4.144,3.447,3.419,
0584-0016473,.M,15.6101381,-31.5520053,H,81.0,0.7,15.2,0.6,5.591,T,5.503,T,5.450,B,5.386,5.285,5.224,
0590-0014164,.M,20.8789894,-30.9456175,H,-15.5,0.8,-45.8,0.4,7.477,T,5.840,T,4.960,B,2.769,1.852,1.677,
0606-0010159,.M,14.6515036,-29.3574492,H,22.4,1.0,6.2,0.6,4.149,T,4.288,T,4.370,B,4.847,4.807,4.668,
0637-0025615,YM,22.5954381,-26.2078514,H,43.6,0.6,1.3,0.4,7.297,T,5.935,T,5.090,B,3.935,3.130,2.952,
0649-0018983,YM,26.4114878,-25.0526100,H,159.4,0.9,-72.3,0.6,5.679,T,5.348,T,5.130,B,4.764,4.315,4.461,
0683-0026259,YM,22.4005631,-21.6293392,H,55.6,0.8,3.2,0.5,5.129,T,5.104,T,5.090,B,5.384,5.025,4.963,
0496-0026471,..,44.5684872,-40.3047167,H,-2.8,2.3,4.2,2.2,4.205,T,4.108,T,4.050,B,,,,
0496-0026466,.M,44.5653111,-40.3046725,H,-53.5,0.4,25.7,0.5,3.328,T,3.179,T,,,2.245,2.158,2.093,
0515-0025891,.M,43.3933211,-38.4370039,H,58.8,0.5,34.2,0.5,6.330,T,5.935,T,5.680,B,5.152,4.937,4.842,R
0543-0023799,YM,42.6683611,-35.6758489,H,3.8,0.4,-54.3,0.5,6.758,T,5.479,T,4.690,B,3.629,2.859,2.717,R
0589-0036714,YM,52.0817986,-31.0681886,C,-5.2,6.1,-43.7,6.1,14.340,Y,4.660,Y,11.220,B,11.727,10.926,10.640,
