HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
3847,,83727,,,09 47 18.0,+79 08 12,6.17,0.25,F0V:,
3848,,83731,,,09 40 20.1,-10 46 09,6.37,0.08,A2V,
3849,38Kap Hya,83754,,4576,09 40 18.4,-14 19 56,5.06,-0.15,B5V,*
3850,,83787,,DR Leo,09 41 35.2,+31 16 41,5.89,1.60,K6III,*
3851,43    Lyn,83805,,,09 42 00.3,+39 45 28,5.62,0.95,G8III,
3852,14Omi Leo,83808,7480,,09 41 09.0,+09 53 32,3.52,0.49,F6II+A1-5V,*
3853,13    Leo,83821,,,09 41 38.5,+25 54 46,6.24,1.25,gK2,
3854,,83869,,,09 42 43.1,+48 25 52,6.39,-0.01,A1V,
3855,,83886,,,09 43 07.0,+54 21 49,6.47,0.13,A5m,
3856,,83944,,4577,09 39 21.0,-61 19 41,4.52,-0.07,B9IV-V,*
3857,13    LMi,83951,,,09 42 42.7,+35 05 36,6.14,0.36,F3V,
3858,,83953,,,09 41 17.0,-23 35 30,4.77,-0.12,B6Ve,*
3859,,83962,,,09 44 36.7,+64 59 02,6.17,,F3Vn,
3860,Zet Cha,83979,,Zet Cha,09 33 53.2,-80 56 29,5.11,-0.14,B5V,*
3861,15    Leo,84107,,,09 43 33.3,+29 58 28,5.64,0.12,A2IV,
3862,,84117,,,09 42 14.4,-23 54 56,4.94,0.53,F9IV,
3863,,84121,,,09 40 42.5,-57 59 01,5.32,0.20,A3IV,*
3864,,84152,,,09 41 02.2,-57 15 35,5.80,1.09,K0-1III,
3865,28    UMa,84179,,,09 45 55.4,+63 39 12,6.34,0.31,F2V,*
3866,16Psi Leo,84194,,4594,09 43 43.9,+14 01 18,5.35,1.63,M2IIIab,
3867,,84224,,,09 42 41.4,-35 30 06,6.41,-0.06,ApSi,
3868,,84228,,,09 41 47.8,-55 12 51,6.00,-0.13,B4V,
3869,,84252,,,09 44 30.0,+18 51 49,6.50,,K0,
3870,,84335,,CS UMa,09 46 31.7,+57 07 41,5.20,1.62,M3IIIab,*
3871,The Ant,84367,,,09 44 12.1,-27 46 10,4.79,0.51,A8V+F7II-III,*
3872,,84400,,IP Vel,09 43 27.5,-51 13 42,6.15,-0.10,B6V,*
3873,17Eps Leo,84441,,4613,09 45 51.1,+23 46 27,2.98,0.80,G1II,*
3874,,84447,,,09 44 15.8,-39 34 16,6.82,0.30,F2-3V,
3875,,84461,,,09 43 42.2,-53 53 30,5.56,-0.04,A0IV,*
3876,,84542,,,09 46 10.0,+06 42 31,5.79,1.64,M1.5IIIab,*
3877,18    Leo,84561,,,09 46 23.3,+11 48 36,5.63,1.49,gK4,
3878,,84567,,,09 45 21.8,-30 12 10,6.45,-0.13,B0.5IIIn,*
3879,,84607,,,09 46 23.6,+01 47 08,5.65,0.34,F4IV,
3880,19    Leo,84722,,,09 47 25.9,+11 34 06,6.45,0.43,A7Vn,*
3881,,84737,,,09 48 35.4,+46 01 16,5.09,0.62,G0.5Va,
3882,,84748,,R Leo,09 47 33.5,+11 25 44,6.02,1.30,M8IIIe,*
3883,,84809,,4623,09 45 40.5,-57 11 08,6.46,-0.11,B8III-IV,*
3884,,84810,,l Car,09 45 14.8,-62 30 28,3.69,1.22,G5Iab-Ib,*
3885,,84812,,,09 50 23.7,+65 35 36,6.31,0.28,A9Vn,
3886,,84816,,Var?,09 46 30.4,-44 45 18,5.55,-0.18,B2.5IV,*
3887,,84850,,,09 45 55.4,-58 47 39,6.22,0.46,F5IV,
3888,29Ups UMa,84999,7534,Ups UMa,09 50 59.4,+59 02 19,3.80,0.29,F2IV,*
3889,20    Leo,85040,,DG Leo,09 49 50.1,+21 10 46,6.09,0.25,A7IVn,*
3890,Ups Car,85123,,,09 47 06.1,-65 04 19,3.01,0.28,A6Ib,*
3891,Ups Car,85124,,,09 47 06.7,-65 04 21,6.26,0.08,B7III,*
3892,,85206,,,09 49 28.1,-37 11 11,5.97,1.24,K1III,
3893,4    Sex,85217,,,09 50 30.1,+04 20 37,6.24,0.48,F7Vn,*
3894,30Phi UMa,85235,7545,,09 52 06.4,+54 03 52,4.59,0.03,A3IV,*
3895,,85250,,,09 48 40.0,-56 24 43,6.06,0.94,K0III,*
3896,23    Leo,85268,,,09 51 02.0,+13 03 58,6.46,1.58,M0III,
3897,,85296,,,09 49 51.3,-36 16 07,6.37,1.01,K0III,
3898,,85355,,,09 49 57.1,-45 43 58,5.08,-0.10,B7III,*
3899,6    Sex,85364,,,09 51 14.0,-04 14 36,6.01,0.17,A8III,
3900,22    Leo,85376,,,09 51 53.0,+24 23 43,5.32,0.23,A5IV,*
3901,,85380,,,09 51 21.6,-06 10 54,6.42,0.58,F8V,
3902,Nu  Cha,85396,,,09 46 20.6,-76 46 34,5.45,0.89,G8III,
3903,39Ups1Hya,85444,,,09 51 28.7,-14 50 48,4.12,0.92,G7-III,*
3904,,85483,,,09 50 42.0,-46 56 04,5.73,1.08,K0IIICNIb,
3905,24Mu  Leo,85503,,,09 52 45.8,+26 00 25,3.88,1.22,K2IIICN1Ca1,*
3906,7    Sex,85504,,4656,09 52 12.2,+02 27 15,6.02,-0.04,A0V s,
3907,,85505,,,09 52 12.0,+00 04 32,6.35,0.94,G9III,
3908,,85519,,,09 51 59.6,-16 32 05,6.08,1.04,K0,
3909,8Gam Sex,85558,7555,,09 52 30.4,-08 06 18,5.05,0.04,A1V,*
3910,,85563,,,09 51 19.8,-46 11 38,5.62,1.17,K2III,
3911,,85583,,,09 55 03.4,+61 06 58,6.27,1.05,K0,
3912,,85622,,4658,09 51 40.8,-46 32 52,4.58,1.20,G5Ib,*
3913,,85655,,,09 51 12.1,-59 25 33,5.79,1.36,K2IVCNIV-Vp,
3914,,85656,,,09 50 55.7,-62 44 43,5.57,1.32,K1IIICNII,
3915,,85709,,,09 53 42.9,+05 57 30,5.95,1.66,M2III,
3916,,85725,,,09 52 58.0,-27 19 56,6.30,0.62,G1V,*
3917,31    UMa,85795,,SY UMa,09 55 43.0,+49 49 12,5.27,0.07,A3III,*
3918,,85841,,,09 58 22.8,+72 52 46,5.83,1.14,gK3,
3919,,85859,,,09 54 12.3,-25 55 57,4.88,1.23,K2+III-IIIb,*
3920,,85871,,4668,09 53 00.0,-55 22 24,6.48,-0.14,B1IV,*
3921,,85905,,,09 54 31.7,-22 29 18,6.24,0.04,A2,*
3922,,85945,,,09 57 13.6,+57 25 06,5.93,0.89,G5III,*
3923,,85951,,,09 54 52.2,-19 00 34,4.94,1.57,M1III,
3924,,85953,,Var?,09 53 50.2,-51 08 49,5.93,-0.15,B2III,*
3925,,85980,,,09 54 17.6,-45 17 02,5.71,-0.11,B3V,*
3926,,86080,,,09 56 26.0,+08 55 59,5.85,1.13,gK2,
3927,,86087,,,09 54 51.3,-50 14 38,5.72,-0.01,A0V,*
3928,19    LMi,86146,,,09 57 41.1,+41 03 20,5.14,0.46,F6V s,*
3929,,86166,,,09 57 56.9,+45 24 52,6.30,1.11,K0III,
3930,,86211,,,09 56 05.4,-40 49 29,6.41,1.61,M1III,
3931,,86266,7591,,09 56 46.5,-26 33 01,6.28,0.22,A4V,
3932,,86267,,,09 56 35.5,-33 25 07,5.84,1.20,K1III,
3933,,86301,,,09 56 54.0,-27 28 30,6.32,0.17,A4V,
3934,,86321,,Var,10 08 34.3,+83 55 06,6.37,1.52,K0,*
3935,,86352,,,09 56 21.9,-51 20 10,6.37,-0.17,B2IV-V,
3936,,86358,,,09 58 26.1,+27 45 32,6.30,,F3V,*
3937,27Nu  Leo,86360,,,09 58 13.4,+12 26 41,5.26,-0.04,B9IV,
3938,,86369,,,09 58 07.6,+08 18 51,6.04,1.36,gK3,
3939,,86378,,,09 59 51.7,+56 48 43,5.48,1.46,K5III,
3940,Phi Vel,86440,,,09 56 51.8,-54 34 04,3.54,-0.08,B5Ib,*
3941,,86466,,IV Vel,09 57 10.9,-52 38 20,6.12,-0.13,B3IV,*
3942,,86513,,,09 59 36.2,+29 38 43,5.73,1.06,gG9,
3943,,86523,,,09 57 42.5,-48 24 52,6.05,-0.14,B3V,*
3944,,86606,,,09 56 09.7,-71 23 22,6.35,-0.08,B9Ib,
3945,12    Sex,86611,,4694,09 59 43.1,+03 23 05,6.70,0.27,F0V,
3946,,86612,,Var?,09 59 06.1,-23 57 01,6.21,-0.10,B4Ve,*
3947,Eta Ant,86629,,,09 58 52.3,-35 53 28,5.23,0.31,F1III-IV,*
3948,,86634,,,09 57 15.2,-64 29 22,6.58,1.13,K0-1III,
3949,,86659,,,09 56 59.7,-69 06 07,6.20,-0.10,B3V,*
3950,29Pi  Leo,86663,,4699,10 00 12.8,+08 02 39,4.70,1.60,M2-IIIab,*
3951,20    LMi,86728,,,10 01 00.7,+31 55 25,5.36,0.66,G3VaHdel 1,*
3952,,87015,,,10 02 48.9,+21 56 57,5.66,-0.19,B2.5IV,
3953,,87030,,,10 00 34.4,-56 56 48,6.52,0.98,K0III,
3954,,87141,,,10 04 36.3,+53 53 30,5.74,0.48,F5V,
3955,,87152,,Var?,10 01 40.5,-53 21 52,6.20,-0.13,B2.5V,*
3956,,87199,,,10 02 49.3,-30 34 39,6.54,1.19,K1III,
3957,,87238,,,10 01 58.0,-57 20 59,6.20,1.12,K1II,
3958,,87243,,,10 05 10.5,+52 22 15,6.14,,A5IV,
3959,,87262,,,10 03 41.0,-09 34 26,6.12,1.66,K0,
3960,,87283,,,10 02 00.0,-60 25 15,5.94,0.26,A9IV,*
3961,13    Sex,87301,,,10 04 08.4,+03 12 04,6.45,0.40,F4V,
3962,,87318,7625,,10 03 41.4,-25 19 00,6.70,0.00,A0III-IV,*
3963,,87344,7627,,10 04 02.9,-18 06 06,5.86,-0.06,A0V,*
3964,,87363,,,10 03 20.5,-46 38 10,6.12,0.02,A0V,
3965,,87427,,,10 04 21.0,-24 17 08,5.70,0.30,A8V,
3966,,87436,,,10 02 59.9,-60 10 43,6.19,0.17,A6II-III,*
3967,,87438,,4720,10 02 49.4,-62 09 23,6.42,1.72,K3Ib,
3968,,87477,,,10 04 23.4,-39 58 33,6.43,1.30,K1III,
3969,,87500,,,10 05 40.9,+15 45 27,6.37,0.37,F2Vn,
3970,40Ups2Hya,87504,,4725,10 05 07.5,-13 03 53,4.60,-0.09,B9III-IV,
3971,,87543,,,10 03 34.3,-61 53 02,6.14,-0.04,B7IVne,*
3972,,87606,,,10 05 15.2,-36 23 02,6.27,1.11,K1III,
3973,14    Sex,87682,,,10 06 47.4,+05 36 41,6.21,0.94,K1III,*
3974,21    LMi,87696,,4736,10 07 25.8,+35 14 41,4.48,0.18,A7V,*
3975,30Eta Leo,87737,,4738,10 07 20.0,+16 45 46,3.52,-0.03,A0Ib,*
3976,,87783,,,10 06 11.3,-47 22 12,5.08,0.88,K1IV+G5V,*
3977,,87808,,,10 07 09.5,-17 08 30,5.60,1.50,K7III,
3978,,87816,,R Vel,10 06 07.1,-52 11 17,6.52,0.98,K1III,*
3979,,87822,7651,,10 08 15.9,+31 36 15,6.24,0.45,F4V,*
3980,31    Leo,87837,7649,,10 07 54.3,+09 59 51,4.37,1.45,K3.5IIIbFe-1,*
3981,15Alp Sex,87887,,,10 07 56.3,-00 22 18,4.49,-0.04,A0III,
3982,32Alp Leo,87901,7654,4750,10 08 22.3,+11 58 02,1.35,-0.11,B7V,*
3983,Mu 1Cha,87971,,,10 00 43.7,-82 12 53,5.52,0.03,A0IV,
3984,,88013,,,10 08 01.7,-37 20 01,6.36,0.98,K0III,
3985,,88024,,,10 08 45.7,-10 53 05,6.53,0.02,A2V,
3986,,88025,,,10 08 35.5,-15 36 42,6.27,-0.01,A0V,
3987,,88161,,,10 10 58.9,+40 39 41,6.32,1.25,gK3,
3988,,88182,,,10 09 56.5,-12 05 45,6.24,0.18,A5m,
3989,17    Sex,88195,,,10 10 07.5,-08 24 30,5.91,0.02,A1V,*
3990,,88206,,,10 08 56.3,-51 48 40,4.86,-0.12,B3IV,*
3991,,88215,,,10 10 05.9,-12 48 58,5.31,0.36,F5V,*
3992,,88218,,,10 09 31.8,-35 51 24,6.13,0.60,F8V,*
3993,,88231,,4764,10 11 12.8,+37 24 07,5.85,1.29,gK3,
3994,41Lam Hya,88284,7671,,10 10 35.3,-12 21 15,3.61,1.01,K0IIICN1,*
3995,,88323,,,10 08 42.6,-65 48 55,5.28,0.98,K0III,
3996,18    Sex,88333,,4767,10 10 55.8,-08 25 06,5.65,1.30,K2III,
3997,Mu 2Cha,88351,,4744,10 04 07.6,-81 33 57,6.60,0.92,G6-8III,
3998,34    Leo,88355,7674,,10 11 38.2,+13 21 18,6.44,0.46,F7V,*
3999,,88366,,S Car,10 09 21.9,-61 32 57,5.60,1.60,M2-3IIIe,*
4000,,88372,,,10 11 17.8,-07 19 00,6.25,0.01,A2Vn,
4001,,88399,,,10 10 37.9,-41 42 54,5.98,1.24,K2-3III,
4002,,88473,,,10 09 30.5,-68 41 00,5.81,0.02,A0IV,
4003,,88522,7681,,10 12 02.9,-28 36 23,6.28,0.01,A1V,
4004,19    Sex,88547,,,10 12 48.3,+04 36 53,5.77,1.18,gK0,
4005,,88595,,,10 12 37.8,-19 09 13,6.44,0.50,F6V,
4006,,88639,,,10 13 49.8,+27 08 09,6.04,0.85,G3IIIFe-1,*
4007,,88647,,V368 Car,10 11 35.2,-58 49 41,6.40,1.66,M3III,*
4008,,88651,,U UMa,10 15 07.7,+59 59 08,6.25,1.60,M0III,*
4009,,88661,,QY Car,10 11 46.5,-58 03 38,5.72,-0.08,B2IVpne,*
4010,,88693,,,10 12 23.0,-52 09 48,6.16,1.17,K2IIICNII,
4011,,88699,,,10 13 19.4,-27 01 44,6.25,0.31,A9mA8-F3,*
4012,,88737,,,10 14 29.7,+21 10 04,6.02,0.56,F9V,
4013,,88742,,,10 13 24.8,-33 01 55,6.38,0.59,G1V,
4014,22    LMi,88786,,,10 15 06.3,+31 28 05,6.46,,G8III,
4015,,88809,,,10 13 45.9,-40 20 45,5.90,1.21,K1III,
4016,,88815,,,10 18 01.1,+73 04 24,6.40,0.23,F2V,
4017,,88824,,,10 13 22.8,-51 14 00,5.28,0.25,A7V,
4018,,88825,,,10 13 01.3,-59 55 05,6.10,-0.08,B4Ve,*
4019,,88836,,,10 13 56.6,-40 18 38,6.35,0.94,G8III,
4020,,88842,,4788,10 13 28.0,-51 45 22,5.78,0.14,A3IV-V,
4021,,88849,7705,4802,10 17 50.6,+71 03 38,6.66,0.32,A7m,*
4022,,88907,,,10 13 21.2,-61 39 32,6.41,-0.11,B2V,*
4023,,88955,,,10 14 44.2,-42 07 19,3.85,0.05,A2V,*
4024,23    LMi,88960,,,10 16 14.4,+29 18 38,5.35,0.01,A0Vn,*
4025,,88981,,,10 13 30.6,-66 22 23,5.16,0.21,Am,*
4026,32    UMa,88983,,,10 18 02.0,+65 06 30,5.82,0.12,A8III,
4027,24    LMi,88986,,,10 16 28.1,+28 40 57,6.49,0.60,G0V,
4028,,88987,7704,,10 16 16.1,+17 44 25,6.55,,A9IV,*
4029,,89015,,,10 15 20.9,-36 31 05,6.19,1.06,K0III,
4030,35    Leo,89010,,,10 16 32.3,+23 30 11,5.97,0.67,G1.5IV-V,
4031,36Zet Leo,89025,,4804,10 16 41.4,+23 25 02,3.44,0.31,F0III,*
4032,,89024,,,10 16 41.9,+25 22 17,5.84,1.20,gK2,
4033,33Lam UMa,89021,,,10 17 05.8,+42 54 52,3.45,0.03,A2IV,*
4034,,89033,,,10 16 09.1,-11 12 12,6.08,1.10,K0,
4035,37    Leo,89056,,,10 16 40.7,+13 43 42,5.41,1.61,M1.5IIIab,
4036,,89062,,,10 15 31.5,-43 06 45,5.60,1.52,K4III,
4037,Ome Car,89080,,,10 13 44.2,-70 02 17,3.32,-0.08,B8III,*
4038,,89104,,Var?,10 15 16.6,-54 58 27,6.16,-0.17,B2IV-V,*
4039,39    Leo,89125,7712,,10 17 14.6,+23 06 22,5.82,0.50,F8Vb w,*
4040,,89169,7711,,10 16 45.6,-20 40 14,6.57,0.48,F3V,
4041,,89239,,,10 18 10.3,+27 24 55,6.52,-0.02,A0V,
4042,22Eps Sex,89254,,,10 17 37.8,-08 04 08,5.24,0.31,F2III,*
4043,,89263,,,10 16 03.1,-59 54 12,6.22,0.20,A5V,*
4044,,89268,,,10 18 59.0,+46 45 39,6.43,,K1III,
4045,,89273,,GY Vel,10 16 40.2,-51 12 18,6.30,1.54,M4-5III,*
4046,,89319,,,10 19 26.8,+48 23 49,6.00,1.02,K0,
4047,,89343,,,10 21 03.4,+68 44 51,5.96,0.20,A7Vn,
4048,,89344,,,10 19 00.7,+24 42 42,6.40,,K0,
4049,,89353,,AG Ant,10 18 07.6,-28 59 31,5.34,0.24,A0Ib-IIp,*
4050,,89388,,V337 Car,10 17 05.0,-61 19 56,3.40,1.54,K3IIa,*
4051,,89389,,,10 20 14.8,+53 46 45,6.45,0.54,F9V,
4052,,89414,,,10 20 31.2,+54 13 01,6.00,1.13,gK3,
4053,,89442,,,10 18 37.8,-36 48 17,6.30,1.28,K2-3III,
4054,40    Leo,89449,,4822,10 19 44.1,+19 28 15,4.79,0.45,F6IV,*
4055,,89455,,,10 19 16.8,-12 31 41,6.00,0.26,A9V,
4056,,89461,,,10 18 28.2,-41 40 06,5.96,-0.06,B9V,
4057,41Gam1Leo,89484,7724,4823,10 19 58.3,+19 50 30,2.61,1.15,K1-IIIbFe-0.5,*
4058,41Gam2Leo,89485,7724,4823,10 19 58.6,+19 50 26,3.80,,G7IIIFe-1,*
4059,,89490,,,10 19 32.2,-05 06 21,6.37,0.90,K0,
4060,,89565,,,10 19 59.4,-09 03 32,6.32,0.33,F1IV,
4061,,89569,,,10 18 37.6,-56 06 36,5.81,0.48,F6V,
4062,,89571,,,10 29 41.5,+84 15 08,5.50,,F0IV,*
4063,,89682,,GZ Vel,10 19 36.8,-55 01 46,4.57,1.62,K3II,*
4064,23    Sex,89688,,RS Sex,10 21 02.0,+02 17 23,6.66,-0.08,B2.5IV,*
4065,,89715,,,10 19 04.8,-64 40 35,5.67,0.05,A1V,*
4066,,89736,,,10 20 16.7,-47 41 57,5.65,1.67,K5-M0III,
4067,,89744,,,10 22 10.5,+41 13 46,5.76,0.54,F7V,
4068,,89747,,,10 21 07.8,-17 59 06,6.51,0.40,F3III-IV,
4069,34Mu  UMa,89758,,4829,10 22 19.7,+41 29 58,3.05,1.59,M0III,*
4070,42    Leo,89774,,4828,10 21 50.3,+14 58 32,6.12,0.02,A1V,*
4071,,89816,,,10 21 28.7,-23 42 39,6.50,0.20,A3,
4072,,89822,,4839,10 24 07.9,+65 33 59,4.97,-0.06,A0pSiSr:Hg:,*
4073,,89828,7739,,10 21 36.0,-22 31 42,6.51,0.07,A0,
4074,,89890,,,10 20 54.8,-56 02 35,4.50,-0.12,B3IIIe,*
4075,27    LMi,89904,,,10 23 06.3,+33 54 29,5.90,0.14,A6V,
4076,,89911,,,10 22 12.9,-19 52 01,6.13,0.03,A1V,*
4077,43    Leo,89962,,,10 23 00.4,+06 32 33,6.07,1.12,K3III,*
4078,,89993,,,10 23 41.8,+29 36 57,6.39,1.09,G8III,
4079,,89995,,,10 23 14.6,+05 41 39,6.54,0.46,F6V,
4080,,89998,,4837,10 22 19.6,-41 39 00,4.83,1.12,K1III,
4081,28    LMi,90040,,,10 24 08.6,+33 43 07,5.50,1.18,gK1,
4082,25    Sex,90044,,SS Sex,10 23 26.5,-04 04 27,5.97,-0.10,B9pSiCr:Sr:,*
4083,,90071,,,10 23 13.1,-30 09 44,6.27,0.31,F0III,
4084,,90089,,4864,10 31 04.6,+82 33 31,5.26,0.37,F2V,
4085,,90125,7755,,10 24 13.1,+02 22 05,6.32,1.00,G9V,*
4086,,90132,,,10 23 29.3,-38 00 36,5.33,0.25,A8V,
4087,,90170,,,10 23 40.4,-41 57 12,6.27,0.88,G8IV,*
4088,44    Leo,90254,,DE Leo,10 25 15.2,+08 47 05,5.61,1.62,M3IIIabs,*
4089,,90264,,,10 22 58.1,-66 54 06,4.99,-0.13,B8V,*
4090,30    LMi,90277,,,10 25 54.9,+33 47 46,4.74,0.25,F0V,
4091,,90289,,4846,10 23 50.9,-57 57 14,6.35,1.52,K4III,
4092,,90362,,,10 25 44.3,-07 03 35,5.57,1.52,K5:IIIbFe-0.5,
4093,,90393,,,10 25 17.2,-42 28 05,6.18,1.00,G8III,
4094,42Mu  Hya,90432,,,10 26 05.4,-16 50 11,3.81,1.48,K4.5III,
4095,,90454,,,10 24 59.4,-58 34 35,5.95,0.32,F2III,
4096,,90470,,,10 27 28.0,+41 36 03,6.02,0.17,A2V,
4097,,90472,,,10 27 00.5,+19 21 52,6.15,1.14,K0,
4098,,90508,,,10 28 03.8,+48 47 05,6.44,0.60,F9V,*
4099,,90518,,,10 26 09.5,-42 44 20,6.13,1.13,K1III,
4100,31Bet LMi,90537,7780,,10 27 53.0,+36 42 26,4.21,0.90,G9IIIab,*
4101,45    Leo,90569,7781,CX Leo,10 27 39.0,+09 45 45,6.04,-0.06,A0pSiCr:,*
4102,,90589,,4856,10 24 23.7,-74 01 54,4.00,0.35,F2IV,
4103,,90602,,,10 28 36.5,+45 12 44,6.35,1.32,K0,
4104,Alp Ant,90610,,4862,10 27 09.1,-31 04 04,4.25,1.45,K4III,*
4105,,90630,,,10 24 44.3,-73 58 18,6.19,0.07,A2-3V,
4106,35    UMa,90633,,,10 29 54.3,+65 37 34,6.32,1.14,gK2,
4107,,90677,,,10 26 49.0,-54 52 39,5.58,1.56,K3II-III,
4108,,90745,,,10 30 26.6,+64 15 27,6.12,0.16,A7III,
4109,,90763,,Var?,10 28 44.0,-03 44 33,6.05,0.05,A1pSr:,*
4110,,90772,,V399 Car,10 27 24.4,-57 38 20,4.66,0.51,A9Ia,*
4111,,90798,,4868,10 28 01.9,-49 24 20,6.10,1.51,K4III,*
4112,36    UMa,90839,,,10 30 37.6,+55 58 50,4.84,0.52,F8V,*
4113,32    LMi,90840,,,10 30 06.4,+38 55 31,5.77,0.08,A4V,
4114,,90853,,4869,10 27 52.7,-58 44 22,3.82,0.31,F2II,*
4115,,90874,,,10 27 25.3,-65 42 17,6.01,0.09,A2V,
4116,29Del Sex,90882,,,10 29 28.7,-02 44 21,5.21,-0.06,B9.5V,
4117,,90957,,,10 29 29.0,-29 39 49,5.58,1.42,K5III,
4118,Del Ant,90972,,4876,10 29 35.4,-30 36 26,5.56,-0.04,B9.5V,*
4119,30Bet Sex,90994,,Bet Sex,10 30 17.5,-00 38 13,5.09,-0.14,B6V,*
4120,,91056,,,10 28 52.6,-64 10 20,5.29,1.86,M0III,*
4121,,91075,,,10 36 01.7,+80 29 40,6.52,0.95,gG4,
4122,,91106,7808,,10 30 58.7,-07 38 15,6.20,1.38,K5III+F6V,*
4123,,91120,,Var?,10 30 59.8,-13 35 18,5.58,-0.04,B9Vn,*
4124,33    LMi,91130,7813,,10 31 51.4,+32 22 46,5.90,0.11,A0IV,*
4125,,91135,,,10 30 51.4,-26 29 02,6.51,0.54,F7III,
4126,,91190,,,10 35 05.5,+75 42 47,4.84,0.96,G8.5III,
4127,46    Leo,91232,,4883,10 32 11.8,+14 08 14,5.46,1.68,M1.5IIIbCa-1,*
4128,,91270,,,10 30 39.2,-61 21 22,6.43,1.76,M2IIIe,*
4129,,91272,,4881,10 30 08.7,-66 59 06,6.19,0.01,B4IV,
4130,,91280,,,10 31 48.6,-28 14 15,6.05,0.51,F7V,
4131,,91311,,,10 33 43.6,+53 29 51,6.45,,A1V,*
4132,,91312,7826,,10 33 13.9,+40 25 32,4.75,0.23,A7IV,*
4133,47Rho Leo,91316,,Rho Leo,10 32 48.7,+09 18 24,3.85,-0.14,B1Ib,*
4134,,91324,,,10 31 21.8,-53 42 56,4.89,0.50,F6V,*
4135,,91355,,,10 31 57.5,-45 04 00,5.74,-0.15,B6II,*
4136,,91356,,,10 31 56.6,-45 04 10,6.09,-0.11,B8II,*
4137,34    LMi,91365,,,10 33 30.9,+34 59 19,5.58,0.02,A2Vn,
4138,,91375,,,10 30 20.1,-71 59 35,4.74,0.04,A1V,*
4139,,91437,,,10 32 33.6,-44 37 08,5.91,0.92,G6-8III,
4140,,91465,,PP Car,10 32 01.4,-61 41 07,3.32,-0.09,B4Vne,*
4141,37    UMa,91480,,,10 35 09.7,+57 04 58,5.16,0.34,F1V,*
4142,,91496,,4886,10 31 02.0,-73 13 18,4.93,1.68,K4-5III,*
4143,,91504,,,10 32 56.9,-47 00 12,5.02,1.04,K4III,*
4144,,91533,,,10 32 47.6,-58 40 01,6.00,0.32,A2Iab,*
4145,44    Hya,91550,7834,,10 34 00.9,-23 44 43,5.08,1.60,K4III,
4146,48    Leo,91612,,,10 34 48.0,+06 57 13,5.08,0.94,G8.5IIIFe-1Ca-1,*
4147,,91619,,V369 Car,10 33 25.3,-58 11 25,6.14,0.35,B7Iae,*
4148,49    Leo,91636,7837,TX Leo,10 35 02.2,+08 39 01,5.67,0.05,A2V,*
4149,,91706,,,10 34 57.7,-23 10 34,6.10,0.50,F7V,
4150,35    LMi,91752,,,10 36 21.4,+36 19 37,6.28,0.39,F3V,
4151,,91767,,4898,10 34 12.9,-60 59 16,6.23,1.40,K2-3III,*
4152,,91790,,,10 35 38.9,-18 34 09,6.49,0.20,A7V,
4153,,91793,,U Ant,10 35 12.9,-39 33 46,5.38,2.88,N0:,*
4154,,91805,,,10 35 10.5,-43 39 53,6.08,0.94,G8II-IIICNVp,*
4155,,91858,,,10 36 17.4,-10 35 00,6.57,0.29,F0V,
4156,Phi2Hya,91880,7847,,10 36 16.7,-16 20 40,6.03,1.65,M1III,*
4157,,91881,7846,4907,10 36 04.6,-26 40 30,6.29,0.48,F5V,*
4158,,91889,,,10 36 32.4,-12 13 49,5.70,0.52,F7V,*
4159,,91942,,4904,10 35 35.3,-57 33 28,4.45,1.62,K3-4II,
4160,,91992,,,10 37 11.6,-11 44 55,6.52,0.29,F0V,
4161,,92029,,,10 31 51.0,-81 55 16,7.07,-0.08,B5III-IV,*
4162,,92036,,,10 37 13.7,-27 24 45,4.89,1.62,M2III,
4163,,92055,,U Hya,10 37 33.2,-13 23 04,4.82,2.68,C5II,*
4164,,92063,,4909,10 36 20.3,-59 33 53,5.08,1.18,K1III,
4165,,92095,,,10 39 05.7,+53 40 06,5.52,1.27,K3III,
4166,37    LMi,92125,,,10 38 43.2,+31 58 34,4.71,0.81,G2.5IIa,
4167,,92139,,,10 37 18.1,-48 13 33,3.84,0.30,F4IV+F3,*
4168,38    LMi,92168,,,10 39 07.6,+37 54 36,5.85,0.57,F9V,*
4169,,92207,,V370 Car,10 37 26.8,-58 44 00,5.45,0.50,A0Iae,*
4170,,92209,,,10 35 24.8,-76 18 33,6.30,1.20,K2III,
4171,Phi3Hya,92214,,,10 38 35.0,-16 52 36,4.91,0.92,G8IIIFe-0.5,*
4172,,92245,,,10 38 50.4,-12 26 37,6.04,0.00,A0Vn,
4173,,92287,,,10 38 02.5,-57 15 23,5.91,-0.14,B3IV,*
4174,Gam Cha,92305,,4913,10 35 28.1,-78 36 28,4.11,1.58,M0III,
4175,,92328,,,10 38 50.3,-42 45 13,6.11,0.66,Am+Am:,
4176,,92354,,,10 41 48.3,+68 26 36,5.75,1.30,gK3,
4177,,92397,,4922,10 38 45.1,-59 10 59,4.66,1.48,K4-5III:,*
4178,38    UMa,92424,,4936,10 41 56.6,+65 42 59,5.12,1.20,K2III,
4179,,92436,,,10 38 59.4,-58 49 01,5.92,1.65,M1III,*
4180,,92449,,,10 39 18.4,-55 36 12,4.28,1.04,G2-3Ib,*
4181,,92523,,,10 43 04.1,+69 04 34,5.00,1.38,K3III-IIIb,
4182,33    Sex,92588,,,10 41 24.2,-01 44 30,6.26,0.88,K1IV,
