HR,Name,HD,ADS,VarID,RAJ2000,DEJ2000,Vmag,B-V,SpType,NoteFlag
341,,6953,,,01 10 19.4,+25 27 28,5.80,1.47,K7III,
342,,6960,,424,01 11 25.6,+64 12 10,5.55,-0.07,B9.5V,*
343,33The Cas,6961,,423,01 11 06.2,+55 08 59,4.33,0.17,A7V,*
344,,6966,,,01 10 11.5,+15 40 27,6.06,1.49,M0III,
345,32    Cas,6972,,RU Cas,01 11 41.4,+65 01 08,5.57,-0.09,B9IV,*
346,32    Cet,6976,,,01 10 12.0,-08 54 22,6.40,1.04,K0III,
347,33    Cet,7014,,422,01 10 33.6,+02 26 44,5.95,1.51,K4III,*
348,45    And,7019,,,01 11 10.3,+37 43 27,5.81,-0.10,B7III-IV,*
349,82    Psc,7034,,,01 11 06.8,+31 25 29,5.16,0.23,F0V,
350,,7082,,,01 10 07.4,-57 41 40,6.41,0.89,G6II-III,
351,84Chi Psc,7087,,,01 11 27.2,+21 02 05,4.66,1.03,G8.5III-IIIa,
352,83Tau Psc,7106,,,01 11 39.6,+30 05 23,4.51,1.09,K0.5IIIb,
353,34    Cet,7147,,,01 11 43.5,-02 15 04,5.94,1.40,K4III,*
354,,7157,987,,01 13 09.9,+61 42 21,6.41,0.01,B9V,
355,,7158,,,01 12 34.0,+45 20 16,6.11,1.64,M1III,
356,,7229,990,,01 12 59.5,+30 03 51,6.19,1.00,G9III+G1V,*
357,,7238,,,01 16 30.7,+79 54 36,6.26,0.42,F5V s,
358,,7259,,,01 12 23.4,-30 48 08,6.52,0.48,F7IV,
359,,7312,,AI Scl,01 12 45.4,-37 51 23,5.92,0.28,F0III,*
360,85Phi Psc,7318,995,,01 13 44.9,+24 35 01,4.65,1.04,K0III,*
361,86Zet Psc,7344,996,,01 13 43.9,+07 34 31,5.24,0.32,A7IV,*
362,86Zet Psc,7345,996,442,01 13 45.3,+07 34 42,6.30,0.49,F7V,*
363,,7351,,444,01 14 05.0,+28 31 47,6.43,1.70,S3+/2-,*
364,87    Psc,7374,,445,01 14 07.6,+16 08 01,5.98,-0.08,B8III,*
365,,7389,,,01 16 12.1,+71 44 38,7.83,0.78,K1V,*
366,37    Cet,7439,1003,446,01 14 24.0,-07 55 23,5.13,0.46,F5V,*
367,88    Psc,7446,,,01 14 42.4,+06 59 43,6.03,1.08,gG6,
368,38    Cet,7476,,,01 14 49.2,-00 58 26,5.70,0.42,F5V,*
369,,7546,,,01 16 24.5,+48 04 56,6.61,-0.05,B9IIIpSi,
370,Nu  Phe,7570,,,01 15 11.1,-45 31 53,4.96,0.58,F8V,*
371,,7578,,,01 16 18.8,+33 06 53,6.02,1.15,K1III,*
372,,7647,,,01 17 05.1,+44 54 07,6.34,,K5,
373,39    Cet,7672,,AY Cet,01 16 36.3,-02 30 01,5.41,0.90,G5IIIe+dA,*
374,,7724,,,01 17 24.1,+31 44 41,6.73,,K0,
375,,7732,,,01 20 19.5,+77 34 14,6.31,0.92,G5III,
376,,7758,,,01 18 10.2,+47 25 11,6.25,1.35,K0,
377,Kap Tuc,7788,,454,01 15 46.1,-68 52 34,4.86,0.47,F6IV,*
378,89    Psc,7804,,,01 17 48.0,+03 36 52,5.16,0.07,A3V,*
379,,7853,1055,,01 18 47.0,+37 23 10,6.46,0.23,A5m,
380,,7916,,,01 17 03.6,-66 23 53,6.24,0.05,A0V,
381,,7925,,,01 21 59.1,+76 14 20,6.38,0.28,F0IVn,
382,34Phi Cas,7927,1073,,01 20 04.9,+58 13 54,4.98,0.68,F0Ia,*
383,90Ups Psc,7964,,,01 19 28.0,+27 15 51,4.76,0.03,A3V,
384,35    Cas,8003,1088,474,01 21 05.2,+64 39 30,6.34,0.09,A2Vnn,
